Name,FromDate,ToDate,Position,Height,Weight,Born,College,URL,Shoots,DOB,Deceased
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,http://basketball-reference.com/players/a/abdelal01.html, Right,1968-06-24,
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,http://basketball-reference.com/players/a/abdulza01.html, Right,1946-04-07,
Kareem Abdul-Jabbar*,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",http://basketball-reference.com/players/a/abdulka01.html, Right,1947-04-16,
Mahdi Abdul-Rahman,1965,1974,G,6-2,185,"April 15, 1942","University of California, Los Angeles",http://basketball-reference.com/players/a/abdulma01.html, Right,1942-04-15,2011-11-18
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,http://basketball-reference.com/players/a/abdulma02.html, Right,1969-03-09,
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University,http://basketball-reference.com/players/a/abdulta01.html, Right,1974-11-03,
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California,http://basketball-reference.com/players/a/abdursh01.html, Right,1976-12-11,
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,http://basketball-reference.com/players/a/abernto01.html, Right,1954-05-06,
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,http://basketball-reference.com/players/a/ablefo01.html, Right,1932-07-27,
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University,http://basketball-reference.com/players/a/abramjo01.html, Right,1919-02-09,2000-06-09
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,http://basketball-reference.com/players/a/ackeral01.html, Right,1983-01-21,
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,http://basketball-reference.com/players/a/ackerdo01.html, Right,1930-09-04,2011-07-09
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,http://basketball-reference.com/players/a/acresma01.html, Right,1962-11-15,
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,http://basketball-reference.com/players/a/actonbu01.html, Right,1942-01-11,
Quincy Acy,2013,2015,F,6-7,233,"October 6, 1990",Baylor University,http://basketball-reference.com/players/a/acyqu01.html, Right,1990-10-06,
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,http://basketball-reference.com/players/a/adamsal01.html, Right,1954-07-19,
Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,http://basketball-reference.com/players/a/adamsdo01.html, Right,1947-11-27,
George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,http://basketball-reference.com/players/a/adamsge01.html, Right,1949-05-15,
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,http://basketball-reference.com/players/a/adamsha01.html, Right,1984-06-20,
Jordan Adams,2015,2015,G,6-5,220,"July 8, 1994","University of California, Los Angeles",http://basketball-reference.com/players/a/adamsjo01.html, Right,1994-07-08,
