Name,PlayerURL,Season,Team,TeamURL,Lg,Salary
Alaa Abdelnaby,http://basketball-reference.com/players/a/abdelal01.html,1990-91,Portland Trail Blazers,/teams/POR/1991.html,NBA,395000
Alaa Abdelnaby,http://basketball-reference.com/players/a/abdelal01.html,1991-92,Portland Trail Blazers,/teams/POR/1992.html,NBA,494000
Alaa Abdelnaby,http://basketball-reference.com/players/a/abdelal01.html,1992-93,Boston Celtics,/teams/BOS/1993.html,NBA,500000
Alaa Abdelnaby,http://basketball-reference.com/players/a/abdelal01.html,1993-94,Boston Celtics,/teams/BOS/1994.html,NBA,805000
Alaa Abdelnaby,http://basketball-reference.com/players/a/abdelal01.html,1994-95,Sacramento Kings,/teams/SAC/1995.html,NBA,650000
Kareem Abdul-Jabbar*,http://basketball-reference.com/players/a/abdulka01.html,1985-86,Los Angeles Lakers,/teams/LAL/1986.html,NBA,2030000
Kareem Abdul-Jabbar*,http://basketball-reference.com/players/a/abdulka01.html,1987-88,Los Angeles Lakers,/teams/LAL/1988.html,NBA,2000000
Kareem Abdul-Jabbar*,http://basketball-reference.com/players/a/abdulka01.html,1988-89,Los Angeles Lakers,/teams/LAL/1989.html,NBA,3000000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1990-91,Denver Nuggets,/teams/DEN/1991.html,NBA,1660000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1991-92,Denver Nuggets,/teams/DEN/1992.html,NBA,2008000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1992-93,Denver Nuggets,/teams/DEN/1993.html,NBA,2358000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1993-94,Denver Nuggets,/teams/DEN/1994.html,NBA,1825000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1994-95,Denver Nuggets,/teams/DEN/1995.html,NBA,2200000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1995-96,Denver Nuggets,/teams/DEN/1996.html,NBA,2600000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1996-97,Sacramento Kings,/teams/SAC/1997.html,NBA,3100000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,1997-98,Sacramento Kings,/teams/SAC/1998.html,NBA,3300000
Mahmoud Abdul-Rauf,http://basketball-reference.com/players/a/abdulma02.html,2000-01,Vancouver Grizzlies,/teams/VAN/2001.html,NBA,798500
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,1997-98,Sacramento Kings,/teams/SAC/1998.html,NBA,1226880
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,1998-99,Sacramento Kings,/teams/SAC/1999.html,NBA,1411000
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,1999-00,Denver Nuggets,/teams/DEN/2000.html,NBA,1594920
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,2000-01,Denver Nuggets,/teams/DEN/2001.html,NBA,4500000
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,2001-02,Denver Nuggets,/teams/DEN/2002.html,NBA,5062500
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,2002-03,Dallas Mavericks,/teams/DAL/2003.html,NBA,5625000
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,2003-04,Dallas Mavericks,/teams/DAL/2004.html,NBA,6187500
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,2004-05,Dallas Mavericks,/teams/DAL/2005.html,NBA,6750000
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,2005-06,Dallas Mavericks,/teams/DAL/2006.html,NBA,3656250
Tariq Abdul-Wahad,http://basketball-reference.com/players/a/abdulta01.html,2006-07,Dallas Mavericks,/teams/DAL/2007.html,NBA,1968750
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,1996-97,Vancouver Grizzlies,/teams/VAN/1997.html,NBA,2186000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,1999-00,Vancouver Grizzlies,/teams/VAN/2000.html,NBA,9000000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2000-01,Vancouver Grizzlies,/teams/VAN/2001.html,NBA,10130000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2001-02,Atlanta Hawks,/teams/ATL/2002.html,NBA,11250000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2002-03,Atlanta Hawks,/teams/ATL/2003.html,NBA,12375000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2003-04,Atlanta Hawks,/teams/ATL/2004.html,NBA,13500000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2004-05,Portland Trail Blazers,/teams/POR/2005.html,NBA,14625000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2005-06,Sacramento Kings,/teams/SAC/2006.html,NBA,5000000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2006-07,Sacramento Kings,/teams/SAC/2007.html,NBA,5400000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2007-08,Sacramento Kings,/teams/SAC/2008.html,NBA,5800000
Shareef Abdur-Rahim,http://basketball-reference.com/players/a/abdursh01.html,2009-10,Sacramento Kings,/teams/SAC/2010.html,NBA,6600000
Alex Acker,http://basketball-reference.com/players/a/ackeral01.html,2005-06,Detroit Pistons,/teams/DET/2006.html,NBA,398762
Alex Acker,http://basketball-reference.com/players/a/ackeral01.html,2006-07,Detroit Pistons,/teams/DET/2007.html,NBA,839209
Alex Acker,http://basketball-reference.com/players/a/ackeral01.html,2008-09,Los Angeles Clippers,/teams/LAC/2009.html,NBA,711517
Mark Acres,http://basketball-reference.com/players/a/acresma01.html,1987-88,Boston Celtics,/teams/BOS/1988.html,NBA,75000
Mark Acres,http://basketball-reference.com/players/a/acresma01.html,1988-89,Boston Celtics,/teams/BOS/1989.html,NBA,300000
Mark Acres,http://basketball-reference.com/players/a/acresma01.html,1990-91,Orlando Magic,/teams/ORL/1991.html,NBA,437000
Mark Acres,http://basketball-reference.com/players/a/acresma01.html,1991-92,Orlando Magic,/teams/ORL/1992.html,NBA,547000
Mark Acres,http://basketball-reference.com/players/a/acresma01.html,1992-93,Houston Rockets,/teams/HOU/1993.html,NBA,250000
Quincy Acy,http://basketball-reference.com/players/a/acyqu01.html,2012-13,Toronto Raptors,/teams/TOR/2013.html,NBA,665000
Quincy Acy,http://basketball-reference.com/players/a/acyqu01.html,2013-14,Toronto Raptors,/teams/TOR/2014.html,NBA,788872
Alvan Adams,http://basketball-reference.com/players/a/adamsal01.html,1985-86,Phoenix Suns,/teams/PHO/1986.html,NBA,600000
Alvan Adams,http://basketball-reference.com/players/a/adamsal01.html,1987-88,Phoenix Suns,/teams/PHO/1988.html,NBA,675000
Hassan Adams,http://basketball-reference.com/players/a/adamsha01.html,2006-07,New Jersey Nets,/teams/NJN/2007.html,NBA,412718
Hassan Adams,http://basketball-reference.com/players/a/adamsha01.html,2008-09,Los Angeles Clippers,/teams/LAC/2009.html,NBA,297163
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1985-86,Sacramento Kings,/teams/SAC/1986.html,NBA,85000
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1987-88,Denver Nuggets,/teams/DEN/1988.html,NBA,160000
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1988-89,Denver Nuggets,/teams/DEN/1989.html,NBA,375000
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1990-91,Denver Nuggets,/teams/DEN/1991.html,NBA,825000
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1991-92,Washington Bullets,/teams/WSB/1992.html,NBA,1309000
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1992-93,Washington Bullets,/teams/WSB/1993.html,NBA,1309000
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1993-94,Washington Bullets,/teams/WSB/1994.html,NBA,1309000
Michael Adams,http://basketball-reference.com/players/a/adamsmi01.html,1994-95,Charlotte Hornets,/teams/CHH/1995.html,NBA,1240000
Steven Adams,http://basketball-reference.com/players/a/adamsst01.html,2013-14,Oklahoma City Thunder,/teams/OKC/2014.html,NBA,2090880
Rafael Addison,http://basketball-reference.com/players/a/addisra01.html,1991-92,New Jersey Nets,/teams/NJN/1992.html,NBA,311000
Rafael Addison,http://basketball-reference.com/players/a/addisra01.html,1992-93,New Jersey Nets,/teams/NJN/1993.html,NBA,522000
Rafael Addison,http://basketball-reference.com/players/a/addisra01.html,1994-95,Detroit Pistons,/teams/DET/1995.html,NBA,250000
Rafael Addison,http://basketball-reference.com/players/a/addisra01.html,1995-96,Charlotte Hornets,/teams/CHH/1996.html,NBA,360000
Rafael Addison,http://basketball-reference.com/players/a/addisra01.html,1996-97,Charlotte Hornets,/teams/CHH/1997.html,NBA,290000
Jeff Adrien,http://basketball-reference.com/players/a/adrieje01.html,2010-11,Golden State Warriors,/teams/GSW/2011.html,NBA,342666
Jeff Adrien,http://basketball-reference.com/players/a/adrieje01.html,2011-12,Houston Rockets,/teams/HOU/2012.html,NBA,270427
