Name,URL,Championship
The Floridians,http://www.basketball-reference.com/teams/FLO/, 0
Chicago Stags,http://www.basketball-reference.com/teams/CHS/, 0
Toronto Huskies,http://www.basketball-reference.com/teams/TRH/, 0
Los Angeles Lakers,http://www.basketball-reference.com/teams/LAL/, 16
Chicago Bulls,http://www.basketball-reference.com/teams/CHI/, 6
Washington Capitols,http://www.basketball-reference.com/teams/WSC/, 0
Philadelphia 76ers,http://www.basketball-reference.com/teams/PHI/, 3
San Antonio Spurs,http://www.basketball-reference.com/teams/SAS/, 5 (5 NBA & 0 ABA)
Pittsburgh Condors,http://www.basketball-reference.com/teams/PTC/, 1 (0 NBA & 1 ABA)
Houston Rockets,http://www.basketball-reference.com/teams/HOU/, 2
Anderson Packers,http://www.basketball-reference.com/teams/AND/, 0
Detroit Pistons,http://www.basketball-reference.com/teams/DET/, 3
Boston Celtics,http://www.basketball-reference.com/teams/BOS/, 17
Miami Heat,http://www.basketball-reference.com/teams/MIA/, 3
Orlando Magic,http://www.basketball-reference.com/teams/ORL/, 0
Portland Trail Blazers,http://www.basketball-reference.com/teams/POR/, 1
Golden State Warriors,http://www.basketball-reference.com/teams/GSW/, 3
New York Knicks,http://www.basketball-reference.com/teams/NYK/, 2
Kentucky Colonels,http://www.basketball-reference.com/teams/KEN/, 1 (0 NBA & 1 ABA)
Indianapolis Olympians,http://www.basketball-reference.com/teams/INO/, 0
Washington Wizards,http://www.basketball-reference.com/teams/WAS/, 1
Utah Stars,http://www.basketball-reference.com/teams/UTS/, 1 (0 NBA & 1 ABA)
Pittsburgh Ironmen,http://www.basketball-reference.com/teams/PIT/, 0
Providence Steam Rollers,http://www.basketball-reference.com/teams/PRO/, 0
Dallas Mavericks,http://www.basketball-reference.com/teams/DAL/, 1
Minnesota Timberwolves,http://www.basketball-reference.com/teams/MIN/, 0
Los Angeles Clippers,http://www.basketball-reference.com/teams/LAC/, 0
San Diego Sails,http://www.basketball-reference.com/teams/SDS/, 0
Oklahoma City Thunder,http://www.basketball-reference.com/teams/OKC/, 1
Waterloo Hawks,http://www.basketball-reference.com/teams/WAT/, 0
Charlotte Hornets,http://www.basketball-reference.com/teams/CHA/, 0
Milwaukee Bucks,http://www.basketball-reference.com/teams/MIL/, 1
Cleveland Rebels,http://www.basketball-reference.com/teams/CLR/, 0
Memphis Grizzlies,http://www.basketball-reference.com/teams/MEM/, 0
Sheboygan Red Skins,http://www.basketball-reference.com/teams/SHE/, 0
Toronto Raptors,http://www.basketball-reference.com/teams/TOR/, 0
Utah Jazz,http://www.basketball-reference.com/teams/UTA/, 0
Phoenix Suns,http://www.basketball-reference.com/teams/PHO/, 0
Sacramento Kings,http://www.basketball-reference.com/teams/SAC/, 1
Virginia Squires,http://www.basketball-reference.com/teams/VIR/, 1 (0 NBA & 1 ABA)
Detroit Falcons,http://www.basketball-reference.com/teams/DTF/, 0
St. Louis Bombers,http://www.basketball-reference.com/teams/STB/, 0
New Orleans Pelicans,http://www.basketball-reference.com/teams/NOH/, 0
Cleveland Cavaliers,http://www.basketball-reference.com/teams/CLE/, 0
Spirits of St. Louis,http://www.basketball-reference.com/teams/SSL/, 0
Atlanta Hawks,http://www.basketball-reference.com/teams/ATL/, 1
Brooklyn Nets,http://www.basketball-reference.com/teams/NJN/, 2 (0 NBA & 2 ABA)
Indianapolis Jets,http://www.basketball-reference.com/teams/INJ/, 0
Baltimore Bullets,http://www.basketball-reference.com/teams/BLB/, 1
Memphis Sounds,http://www.basketball-reference.com/teams/MMS/, 0
Indiana Pacers,http://www.basketball-reference.com/teams/IND/, 3 (0 NBA & 3 ABA)
Denver Nuggets,http://www.basketball-reference.com/teams/DNN/, 0
